State,County,Year_x,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,Year_y,Asthma measure,Comparison,Group,County prevalence,County 95% confidence interval,California prevalence,California 95% confidence interval
California,Amador,2015,364,283,73,8,0,0,0,140,67,41,0,0,364,0,0,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,10.1,(4.7 15.6),8.30%,(7.7 8.9)
California,Amador,2015,364,283,73,8,0,0,0,140,67,41,0,0,364,0,0,2015 2016,Current asthma prevalence,Age group,0 4 years,,,4.50%,(2.3 6.6)
California,Amador,2015,364,283,73,8,0,0,0,140,67,41,0,0,364,0,0,2015 2016,Current asthma prevalence,Age group,5 17 years,,,12.30%,(9.7 14.9)
California,Amador,2015,364,283,73,8,0,0,0,140,67,41,0,0,364,0,0,2015 2016,Current asthma prevalence,Age group,18 64 years,9,(2.7 15.4),8.10%,(7.4 8.9)
California,Amador,2015,364,283,73,8,0,0,0,140,67,41,0,0,364,0,0,2015 2016,Current asthma prevalence,Age group,65+ years,13.3,(1.1 25.6),9.20%,(8.0 10.4)
California,Amador,2016,366,304,57,5,0,0,0,115,64,37,0,0,366,0,0,2015 2016,Current asthma prevalence,Total population,All ages,9.3,(4.1 14.6),8.70%,(8.1 9.3)
California,Amador,2016,366,304,57,5,0,0,0,115,64,37,0,0,366,0,0,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,,,10.10%,(8.2 12.0)
California,Amador,2016,366,304,57,5,0,0,0,115,64,37,0,0,366,0,0,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,10.1,(4.7 15.6),8.30%,(7.7 8.9)
California,Amador,2016,366,304,57,5,0,0,0,115,64,37,0,0,366,0,0,2015 2016,Current asthma prevalence,Age group,0 4 years,,,4.50%,(2.3 6.6)
California,Amador,2016,366,304,57,5,0,0,0,115,64,37,0,0,366,0,0,2015 2016,Current asthma prevalence,Age group,5 17 years,,,12.30%,(9.7 14.9)
California,Amador,2016,366,304,57,5,0,0,0,115,64,37,0,0,366,0,0,2015 2016,Current asthma prevalence,Age group,18 64 years,9,(2.7 15.4),8.10%,(7.4 8.9)
California,Amador,2016,366,304,57,5,0,0,0,115,64,37,0,0,366,0,0,2015 2016,Current asthma prevalence,Age group,65+ years,13.3,(1.1 25.6),9.20%,(8.0 10.4)
California,Butte,2015,365,170,182,12,1,0,0,152,84,52,0,0,237,127,1,2015 2016,Current asthma prevalence,Total population,All ages,9.4,(3.8 15.1),8.70%,(8.1 9.3)
California,Butte,2015,365,170,182,12,1,0,0,152,84,52,0,0,237,127,1,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,,,10.10%,(8.2 12.0)
California,Butte,2015,365,170,182,12,1,0,0,152,84,52,0,0,237,127,1,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,10.6,(0.9 17.3),8.30%,(7.7 8.9)
California,Butte,2015,365,170,182,12,1,0,0,152,84,52,0,0,237,127,1,2015 2016,Current asthma prevalence,Age group,0 4 years,,,4.50%,(2.3 6.6)
California,Butte,2015,365,170,182,12,1,0,0,152,84,52,0,0,237,127,1,2015 2016,Current asthma prevalence,Age group,5 17 years,,,12.30%,(9.7 14.9)
California,Butte,2015,365,170,182,12,1,0,0,152,84,52,0,0,237,127,1,2015 2016,Current asthma prevalence,Age group,18 64 years,10.4,(2.6 18.2),8.10%,(7.4 8.9)
California,Butte,2015,365,170,182,12,1,0,0,152,84,52,0,0,237,127,1,2015 2016,Current asthma prevalence,Age group,65+ years,11.6,(2.4 20.9),9.20%,(8.0 10.4)
California,Butte,2016,366,169,181,16,0,0,0,127,86,52,0,0,199,167,0,2015 2016,Current asthma prevalence,Total population,All ages,9.4,(3.8 15.1),8.70%,(8.1 9.3)
California,Butte,2016,366,169,181,16,0,0,0,127,86,52,0,0,199,167,0,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,,,10.10%,(8.2 12.0)
California,Butte,2016,366,169,181,16,0,0,0,127,86,52,0,0,199,167,0,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,10.6,(0.9 17.3),8.30%,(7.7 8.9)
California,Butte,2016,366,169,181,16,0,0,0,127,86,52,0,0,199,167,0,2015 2016,Current asthma prevalence,Age group,0 4 years,,,4.50%,(2.3 6.6)
California,Butte,2016,366,169,181,16,0,0,0,127,86,52,0,0,199,167,0,2015 2016,Current asthma prevalence,Age group,5 17 years,,,12.30%,(9.7 14.9)
California,Butte,2016,366,169,181,16,0,0,0,127,86,52,0,0,199,167,0,2015 2016,Current asthma prevalence,Age group,18 64 years,10.4,(2.6 18.2),8.10%,(7.4 8.9)
California,Butte,2016,366,169,181,16,0,0,0,127,86,52,0,0,199,167,0,2015 2016,Current asthma prevalence,Age group,65+ years,11.6,(2.4 20.9),9.20%,(8.0 10.4)
California,Calaveras,2015,365,245,98,18,2,1,1,320,90,45,0,0,274,91,0,2015 2016,Current asthma prevalence,Total population,All ages,9.3,(4.1 14.6),8.70%,(8.1 9.3)
California,Calaveras,2015,365,245,98,18,2,1,1,320,90,45,0,0,274,91,0,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,,,10.10%,(8.2 12.0)
California,Calaveras,2015,365,245,98,18,2,1,1,320,90,45,0,0,274,91,0,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,10.1,(4.7 15.6),8.30%,(7.7 8.9)
California,Calaveras,2015,365,245,98,18,2,1,1,320,90,45,0,0,274,91,0,2015 2016,Current asthma prevalence,Age group,0 4 years,,,4.50%,(2.3 6.6)
California,Calaveras,2015,365,245,98,18,2,1,1,320,90,45,0,0,274,91,0,2015 2016,Current asthma prevalence,Age group,5 17 years,,,12.30%,(9.7 14.9)
California,Calaveras,2015,365,245,98,18,2,1,1,320,90,45,0,0,274,91,0,2015 2016,Current asthma prevalence,Age group,18 64 years,9,(2.7 15.4),8.10%,(7.4 8.9)
California,Calaveras,2015,365,245,98,18,2,1,1,320,90,45,0,0,274,91,0,2015 2016,Current asthma prevalence,Age group,65+ years,13.3,(1.1 25.6),9.20%,(8.0 10.4)
California,Calaveras,2016,366,232,112,22,0,0,0,150,87,44,0,0,280,85,1,2015 2016,Current asthma prevalence,Total population,All ages,9.3,(4.1 14.6),8.70%,(8.1 9.3)
California,Calaveras,2016,366,232,112,22,0,0,0,150,87,44,0,0,280,85,1,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,,,10.10%,(8.2 12.0)
California,Calaveras,2016,366,232,112,22,0,0,0,150,87,44,0,0,280,85,1,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,10.1,(4.7 15.6),8.30%,(7.7 8.9)
California,Calaveras,2016,366,232,112,22,0,0,0,150,87,44,0,0,280,85,1,2015 2016,Current asthma prevalence,Age group,0 4 years,,,4.50%,(2.3 6.6)
California,Calaveras,2016,366,232,112,22,0,0,0,150,87,44,0,0,280,85,1,2015 2016,Current asthma prevalence,Age group,5 17 years,,,12.30%,(9.7 14.9)
California,Calaveras,2016,366,232,112,22,0,0,0,150,87,44,0,0,280,85,1,2015 2016,Current asthma prevalence,Age group,18 64 years,9,(2.7 15.4),8.10%,(7.4 8.9)
California,Calaveras,2016,366,232,112,22,0,0,0,150,87,44,0,0,280,85,1,2015 2016,Current asthma prevalence,Age group,65+ years,13.3,(1.1 25.6),9.20%,(8.0 10.4)
California,Colusa,2015,365,229,130,4,2,0,0,191,70,46,0,0,154,208,3,2015 2016,Current asthma prevalence,Total population,All ages,7.3,(2.7 12.0),8.70%,(8.1 9.3)
California,Colusa,2015,365,229,130,4,2,0,0,191,70,46,0,0,154,208,3,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,,,10.10%,(8.2 12.0)
California,Colusa,2015,365,229,130,4,2,0,0,191,70,46,0,0,154,208,3,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,8.1,(2.6 13.7),8.30%,(7.7 8.9)
California,Colusa,2015,365,229,130,4,2,0,0,191,70,46,0,0,154,208,3,2015 2016,Current asthma prevalence,Age group,0 4 years,,,4.50%,(2.3 6.6)
California,Colusa,2015,365,229,130,4,2,0,0,191,70,46,0,0,154,208,3,2015 2016,Current asthma prevalence,Age group,5 17 years,,,12.30%,(9.7 14.9)
California,Colusa,2015,365,229,130,4,2,0,0,191,70,46,0,0,154,208,3,2015 2016,Current asthma prevalence,Age group,18 64 years,7.3,(1.5 13.1),8.10%,(7.4 8.9)
California,Colusa,2015,365,229,130,4,2,0,0,191,70,46,0,0,154,208,3,2015 2016,Current asthma prevalence,Age group,65+ years,,,9.20%,(8.0 10.4)
California,Colusa,2016,366,272,94,0,0,0,0,91,64,43,0,0,248,99,19,2015 2016,Current asthma prevalence,Total population,All ages,7.3,(2.7 12.0),8.70%,(8.1 9.3)
California,Colusa,2016,366,272,94,0,0,0,0,91,64,43,0,0,248,99,19,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,,,10.10%,(8.2 12.0)
California,Colusa,2016,366,272,94,0,0,0,0,91,64,43,0,0,248,99,19,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,8.1,(2.6 13.7),8.30%,(7.7 8.9)
California,Colusa,2016,366,272,94,0,0,0,0,91,64,43,0,0,248,99,19,2015 2016,Current asthma prevalence,Age group,0 4 years,,,4.50%,(2.3 6.6)
California,Colusa,2016,366,272,94,0,0,0,0,91,64,43,0,0,248,99,19,2015 2016,Current asthma prevalence,Age group,5 17 years,,,12.30%,(9.7 14.9)
California,Colusa,2016,366,272,94,0,0,0,0,91,64,43,0,0,248,99,19,2015 2016,Current asthma prevalence,Age group,18 64 years,7.3,(1.5 13.1),8.10%,(7.4 8.9)
California,Colusa,2016,366,272,94,0,0,0,0,91,64,43,0,0,248,99,19,2015 2016,Current asthma prevalence,Age group,65+ years,,,9.20%,(8.0 10.4)
California,Contra Costa,2015,365,258,99,8,0,0,0,147,67,44,0,7,213,145,0,2015 2016,Current asthma prevalence,Total population,All ages,12.1,(5.2 19.1),8.70%,(8.1 9.3)
California,Contra Costa,2015,365,258,99,8,0,0,0,147,67,44,0,7,213,145,0,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,,,10.10%,(8.2 12.0)
California,Contra Costa,2015,365,258,99,8,0,0,0,147,67,44,0,7,213,145,0,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,9.2,(4.2 15.8),8.30%,(7.7 8.9)
California,Contra Costa,2015,365,258,99,8,0,0,0,147,67,44,0,7,213,145,0,2015 2016,Current asthma prevalence,Age group,0 4 years,,,4.50%,(2.3 6.6)
California,Contra Costa,2015,365,258,99,8,0,0,0,147,67,44,0,7,213,145,0,2015 2016,Current asthma prevalence,Age group,5 17 years,,,12.30%,(9.7 14.9)
California,Contra Costa,2015,365,258,99,8,0,0,0,147,67,44,0,7,213,145,0,2015 2016,Current asthma prevalence,Age group,18 64 years,9.3,(4.5 14.1),8.10%,(7.4 8.9)
California,Contra Costa,2015,365,258,99,8,0,0,0,147,67,44,0,7,213,145,0,2015 2016,Current asthma prevalence,Age group,65+ years,9.1,(3.1 15.0),9.20%,(8.0 10.4)
California,Contra Costa,2016,366,287,76,3,0,0,0,143,59,40,0,2,223,141,0,2015 2016,Current asthma prevalence,Total population,All ages,12.1,(5.2 19.1),8.70%,(8.1 9.3)
California,Contra Costa,2016,366,287,76,3,0,0,0,143,59,40,0,2,223,141,0,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,,,10.10%,(8.2 12.0)
California,Contra Costa,2016,366,287,76,3,0,0,0,143,59,40,0,2,223,141,0,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,9.2,(4.2 15.8),8.30%,(7.7 8.9)
California,Contra Costa,2016,366,287,76,3,0,0,0,143,59,40,0,2,223,141,0,2015 2016,Current asthma prevalence,Age group,0 4 years,,,4.50%,(2.3 6.6)
California,Contra Costa,2016,366,287,76,3,0,0,0,143,59,40,0,2,223,141,0,2015 2016,Current asthma prevalence,Age group,5 17 years,,,12.30%,(9.7 14.9)
California,Contra Costa,2016,366,287,76,3,0,0,0,143,59,40,0,2,223,141,0,2015 2016,Current asthma prevalence,Age group,18 64 years,9.3,(4.5 14.1),8.10%,(7.4 8.9)
California,Contra Costa,2016,366,287,76,3,0,0,0,143,59,40,0,2,223,141,0,2015 2016,Current asthma prevalence,Age group,65+ years,9.1,(3.1 15.0),9.20%,(8.0 10.4)
California,El Dorado,2015,365,239,102,22,2,0,0,166,93,44,0,0,350,5,10,2015 2016,Current asthma prevalence,Total population,All ages,12.1,(2.9 21.2),8.70%,(8.1 9.3)
California,El Dorado,2015,365,239,102,22,2,0,0,166,93,44,0,0,350,5,10,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,,,10.10%,(8.2 12.0)
California,El Dorado,2015,365,239,102,22,2,0,0,166,93,44,0,0,350,5,10,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,12.5,(2.0 23.0),8.30%,(7.7 8.9)
California,El Dorado,2015,365,239,102,22,2,0,0,166,93,44,0,0,350,5,10,2015 2016,Current asthma prevalence,Age group,0 4 years,,,4.50%,(2.3 6.6)
California,El Dorado,2015,365,239,102,22,2,0,0,166,93,44,0,0,350,5,10,2015 2016,Current asthma prevalence,Age group,5 17 years,,,12.30%,(9.7 14.9)
California,El Dorado,2015,365,239,102,22,2,0,0,166,93,44,0,0,350,5,10,2015 2016,Current asthma prevalence,Age group,18 64 years,14,(0.6 27.4),8.10%,(7.4 8.9)
California,El Dorado,2015,365,239,102,22,2,0,0,166,93,44,0,0,350,5,10,2015 2016,Current asthma prevalence,Age group,65+ years,,,9.20%,(8.0 10.4)
California,El Dorado,2016,366,222,101,31,12,0,0,172,105,45,0,0,365,1,0,2015 2016,Current asthma prevalence,Total population,All ages,12.1,(2.9 21.2),8.70%,(8.1 9.3)
California,El Dorado,2016,366,222,101,31,12,0,0,172,105,45,0,0,365,1,0,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,,,10.10%,(8.2 12.0)
California,El Dorado,2016,366,222,101,31,12,0,0,172,105,45,0,0,365,1,0,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,12.5,(2.0 23.0),8.30%,(7.7 8.9)
California,El Dorado,2016,366,222,101,31,12,0,0,172,105,45,0,0,365,1,0,2015 2016,Current asthma prevalence,Age group,0 4 years,,,4.50%,(2.3 6.6)
California,El Dorado,2016,366,222,101,31,12,0,0,172,105,45,0,0,365,1,0,2015 2016,Current asthma prevalence,Age group,5 17 years,,,12.30%,(9.7 14.9)
California,El Dorado,2016,366,222,101,31,12,0,0,172,105,45,0,0,365,1,0,2015 2016,Current asthma prevalence,Age group,18 64 years,14,(0.6 27.4),8.10%,(7.4 8.9)
California,El Dorado,2016,366,222,101,31,12,0,0,172,105,45,0,0,365,1,0,2015 2016,Current asthma prevalence,Age group,65+ years,,,9.20%,(8.0 10.4)
California,Fresno,2015,365,60,203,78,23,1,0,205,136,80,0,0,227,133,5,2015 2016,Current asthma prevalence,Total population,All ages,11.3,(6.2 16.4),8.70%,(8.1 9.3)
California,Fresno,2015,365,60,203,78,23,1,0,205,136,80,0,0,227,133,5,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,10.7,(0.5 20.8),10.10%,(8.2 12.0)
California,Fresno,2015,365,60,203,78,23,1,0,205,136,80,0,0,227,133,5,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,11.5,(6.1 16.9),8.30%,(7.7 8.9)
California,Fresno,2015,365,60,203,78,23,1,0,205,136,80,0,0,227,133,5,2015 2016,Current asthma prevalence,Age group,0 4 years,,,4.50%,(2.3 6.6)
California,Fresno,2015,365,60,203,78,23,1,0,205,136,80,0,0,227,133,5,2015 2016,Current asthma prevalence,Age group,5 17 years,,,12.30%,(9.7 14.9)
California,Fresno,2015,365,60,203,78,23,1,0,205,136,80,0,0,227,133,5,2015 2016,Current asthma prevalence,Age group,18 64 years,11,(4.9 17.1),8.10%,(7.4 8.9)
California,Fresno,2015,365,60,203,78,23,1,0,205,136,80,0,0,227,133,5,2015 2016,Current asthma prevalence,Age group,65+ years,13.9,(5.1 22.8),9.20%,(8.0 10.4)
California,Fresno,2016,366,92,169,80,25,0,0,190,140,74,0,1,217,136,12,2015 2016,Current asthma prevalence,Total population,All ages,11.3,(6.2 16.4),8.70%,(8.1 9.3)
California,Fresno,2016,366,92,169,80,25,0,0,190,140,74,0,1,217,136,12,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,10.7,(0.5 20.8),10.10%,(8.2 12.0)
California,Fresno,2016,366,92,169,80,25,0,0,190,140,74,0,1,217,136,12,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,11.5,(6.1 16.9),8.30%,(7.7 8.9)
California,Fresno,2016,366,92,169,80,25,0,0,190,140,74,0,1,217,136,12,2015 2016,Current asthma prevalence,Age group,0 4 years,,,4.50%,(2.3 6.6)
California,Fresno,2016,366,92,169,80,25,0,0,190,140,74,0,1,217,136,12,2015 2016,Current asthma prevalence,Age group,5 17 years,,,12.30%,(9.7 14.9)
California,Fresno,2016,366,92,169,80,25,0,0,190,140,74,0,1,217,136,12,2015 2016,Current asthma prevalence,Age group,18 64 years,11,(4.9 17.1),8.10%,(7.4 8.9)
California,Fresno,2016,366,92,169,80,25,0,0,190,140,74,0,1,217,136,12,2015 2016,Current asthma prevalence,Age group,65+ years,13.9,(5.1 22.8),9.20%,(8.0 10.4)
California,Glenn,2015,365,257,108,0,0,0,0,93,67,44,0,0,243,99,23,2015 2016,Current asthma prevalence,Total population,All ages,7.3,(2.7 12.0),8.70%,(8.1 9.3)
California,Glenn,2015,365,257,108,0,0,0,0,93,67,44,0,0,243,99,23,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,,,10.10%,(8.2 12.0)
California,Glenn,2015,365,257,108,0,0,0,0,93,67,44,0,0,243,99,23,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,8.1,(2.6 13.7),8.30%,(7.7 8.9)
California,Glenn,2015,365,257,108,0,0,0,0,93,67,44,0,0,243,99,23,2015 2016,Current asthma prevalence,Age group,0 4 years,,,4.50%,(2.3 6.6)
California,Glenn,2015,365,257,108,0,0,0,0,93,67,44,0,0,243,99,23,2015 2016,Current asthma prevalence,Age group,5 17 years,,,12.30%,(9.7 14.9)
California,Glenn,2015,365,257,108,0,0,0,0,93,67,44,0,0,243,99,23,2015 2016,Current asthma prevalence,Age group,18 64 years,7.3,(1.5 13.1),8.10%,(7.4 8.9)
California,Glenn,2015,365,257,108,0,0,0,0,93,67,44,0,0,243,99,23,2015 2016,Current asthma prevalence,Age group,65+ years,,,9.20%,(8.0 10.4)
California,Glenn,2016,362,259,103,0,0,0,0,91,61,43,0,0,210,143,9,2015 2016,Current asthma prevalence,Total population,All ages,7.3,(2.7 12.0),8.70%,(8.1 9.3)
California,Glenn,2016,362,259,103,0,0,0,0,91,61,43,0,0,210,143,9,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,,,10.10%,(8.2 12.0)
California,Glenn,2016,362,259,103,0,0,0,0,91,61,43,0,0,210,143,9,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,8.1,(2.6 13.7),8.30%,(7.7 8.9)
California,Glenn,2016,362,259,103,0,0,0,0,91,61,43,0,0,210,143,9,2015 2016,Current asthma prevalence,Age group,0 4 years,,,4.50%,(2.3 6.6)
California,Glenn,2016,362,259,103,0,0,0,0,91,61,43,0,0,210,143,9,2015 2016,Current asthma prevalence,Age group,5 17 years,,,12.30%,(9.7 14.9)
California,Glenn,2016,362,259,103,0,0,0,0,91,61,43,0,0,210,143,9,2015 2016,Current asthma prevalence,Age group,18 64 years,7.3,(1.5 13.1),8.10%,(7.4 8.9)
California,Glenn,2016,362,259,103,0,0,0,0,91,61,43,0,0,210,143,9,2015 2016,Current asthma prevalence,Age group,65+ years,,,9.20%,(8.0 10.4)
California,Humboldt,2015,365,310,55,0,0,0,0,90,54,36,0,0,183,176,6,2015 2016,Current asthma prevalence,Total population,All ages,12.5,(3.4 21.6),8.70%,(8.1 9.3)
California,Humboldt,2015,365,310,55,0,0,0,0,90,54,36,0,0,183,176,6,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,,,10.10%,(8.2 12.0)
California,Humboldt,2015,365,310,55,0,0,0,0,90,54,36,0,0,183,176,6,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,12,(2.4 21.6),8.30%,(7.7 8.9)
California,Humboldt,2015,365,310,55,0,0,0,0,90,54,36,0,0,183,176,6,2015 2016,Current asthma prevalence,Age group,0 4 years,,,4.50%,(2.3 6.6)
California,Humboldt,2015,365,310,55,0,0,0,0,90,54,36,0,0,183,176,6,2015 2016,Current asthma prevalence,Age group,5 17 years,,,12.30%,(9.7 14.9)
California,Humboldt,2015,365,310,55,0,0,0,0,90,54,36,0,0,183,176,6,2015 2016,Current asthma prevalence,Age group,18 64 years,13.1,(0.6 25.6),8.10%,(7.4 8.9)
California,Humboldt,2015,365,310,55,0,0,0,0,90,54,36,0,0,183,176,6,2015 2016,Current asthma prevalence,Age group,65+ years,,,9.20%,(8.0 10.4)
California,Humboldt,2016,366,326,40,0,0,0,0,74,52,35,0,1,229,130,6,2015 2016,Current asthma prevalence,Total population,All ages,12.5,(3.4 21.6),8.70%,(8.1 9.3)
California,Humboldt,2016,366,326,40,0,0,0,0,74,52,35,0,1,229,130,6,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,,,10.10%,(8.2 12.0)
California,Humboldt,2016,366,326,40,0,0,0,0,74,52,35,0,1,229,130,6,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,12,(2.4 21.6),8.30%,(7.7 8.9)
California,Humboldt,2016,366,326,40,0,0,0,0,74,52,35,0,1,229,130,6,2015 2016,Current asthma prevalence,Age group,0 4 years,,,4.50%,(2.3 6.6)
California,Humboldt,2016,366,326,40,0,0,0,0,74,52,35,0,1,229,130,6,2015 2016,Current asthma prevalence,Age group,5 17 years,,,12.30%,(9.7 14.9)
California,Humboldt,2016,366,326,40,0,0,0,0,74,52,35,0,1,229,130,6,2015 2016,Current asthma prevalence,Age group,18 64 years,13.1,(0.6 25.6),8.10%,(7.4 8.9)
California,Humboldt,2016,366,326,40,0,0,0,0,74,52,35,0,1,229,130,6,2015 2016,Current asthma prevalence,Age group,65+ years,,,9.20%,(8.0 10.4)
California,Imperial,2015,365,87,236,39,3,0,0,175,105,63,0,5,147,127,86,2015 2016,Current asthma prevalence,Total population,All ages,12.1,(6.9 17.4),8.70%,(8.1 9.3)
California,Imperial,2015,365,87,236,39,3,0,0,175,105,63,0,5,147,127,86,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,19.1,(5.6 32.5),10.10%,(8.2 12.0)
California,Imperial,2015,365,87,236,39,3,0,0,175,105,63,0,5,147,127,86,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,8.9,(4.7 13.1),8.30%,(7.7 8.9)
California,Imperial,2015,365,87,236,39,3,0,0,175,105,63,0,5,147,127,86,2015 2016,Current asthma prevalence,Age group,0 4 years,,,4.50%,(2.3 6.6)
California,Imperial,2015,365,87,236,39,3,0,0,175,105,63,0,5,147,127,86,2015 2016,Current asthma prevalence,Age group,5 17 years,20.5,(6.4 34.6),12.30%,(9.7 14.9)
California,Imperial,2015,365,87,236,39,3,0,0,175,105,63,0,5,147,127,86,2015 2016,Current asthma prevalence,Age group,18 64 years,8.7,(4.4 13.0),8.10%,(7.4 8.9)
California,Imperial,2015,365,87,236,39,3,0,0,175,105,63,0,5,147,127,86,2015 2016,Current asthma prevalence,Age group,65+ years,,,9.20%,(8.0 10.4)
California,Imperial,2016,366,105,216,39,3,1,2,541,105,60,0,2,144,90,130,2015 2016,Current asthma prevalence,Total population,All ages,12.1,(6.9 17.4),8.70%,(8.1 9.3)
California,Imperial,2016,366,105,216,39,3,1,2,541,105,60,0,2,144,90,130,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,19.1,(5.6 32.5),10.10%,(8.2 12.0)
California,Imperial,2016,366,105,216,39,3,1,2,541,105,60,0,2,144,90,130,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,8.9,(4.7 13.1),8.30%,(7.7 8.9)
California,Imperial,2016,366,105,216,39,3,1,2,541,105,60,0,2,144,90,130,2015 2016,Current asthma prevalence,Age group,0 4 years,,,4.50%,(2.3 6.6)
