Click here to return to Index,,,,,,,,,
,,,,,,,,,
Asthma Prevalence: Lifetime and current asthma prevalence (and associated 95% confidence intervals) for California and each county  ,,,,,,,,,
,,,,,,,,,
County,Year,Asthma measure,Comparison,Group,County prevalence,County 95% confidence interval,California prevalence,California 95% confidence interval,Comment
Amador,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis. County prevalence not available due to small number of survey responses."
Butte,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),County prevalence not available due to small number of survey responses.
Calaveras,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis. County prevalence not available due to small number of survey responses."
Colusa,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),"Colusa, Glenn, and Tehama counties combined for analysis. County prevalence not available due to small number of survey responses."
Contra Costa,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),County prevalence not available due to small number of survey responses.
Del Norte,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
El Dorado,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),County prevalence not available due to small number of survey responses.
Fresno,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,18.10%,(4.5 31.6),14.50%,(12.2 16.8),None
Glenn,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),"Colusa, Glenn, and Tehama counties combined for analysis. County prevalence not available due to small number of survey responses."
Humboldt,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),County prevalence not available due to small number of survey responses.
Imperial,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,22.00%,(7.8 36.2),14.50%,(12.2 16.8),None
Inyo,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis. County prevalence not available due to small number of survey responses."
Kern,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,31.80%,(16.7 46.8),14.50%,(12.2 16.8),None
Kings,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,33.10%,(9.3 57.0),14.50%,(12.2 16.8),None
Lake,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),County prevalence not available due to small number of survey responses.
Lassen,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
Los Angeles,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,12.60%,(8.0 17.2),14.50%,(12.2 16.8),None
Madera,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),County prevalence not available due to small number of survey responses.
Marin,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),County prevalence not available due to small number of survey responses.
Mariposa,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis. County prevalence not available due to small number of survey responses."
Mendocino,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),County prevalence not available due to small number of survey responses.
Merced,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),County prevalence not available due to small number of survey responses.
Modoc,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
Mono,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis. County prevalence not available due to small number of survey responses."
Monterey,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,11.70%,(0.3 23.1),14.50%,(12.2 16.8),None
Napa,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),County prevalence not available due to small number of survey responses.
Nevada,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),County prevalence not available due to small number of survey responses.
Orange,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,18.50%,(6.5 30.5),14.50%,(12.2 16.8),None
Placer,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),County prevalence not available due to small number of survey responses.
Plumas,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
Riverside,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,16.60%,(4.6 28.6),14.50%,(12.2 16.8),None
Sacramento,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,9.20%,(1.1 17.3),14.50%,(12.2 16.8),None
San Benito,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),County prevalence not available due to small number of survey responses.
San Bernardino,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,12.70%,(2.7 22.7),14.50%,(12.2 16.8),None
San Diego,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,11.90%,(5.8 18.0),14.50%,(12.2 16.8),None
San Francisco,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),County prevalence not available due to small number of survey responses.
San Joaquin,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),County prevalence not available due to small number of survey responses.
San Luis Obispo,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),County prevalence not available due to small number of survey responses.
San Mateo,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,20.10%,(1.5 38.7),14.50%,(12.2 16.8),None
Santa Barbara,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),County prevalence not available due to small number of survey responses.
Santa Clara,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,11.70%,(0.6 22.7),14.50%,(12.2 16.8),None
Santa Cruz,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),County prevalence not available due to small number of survey responses.
Shasta,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),County prevalence not available due to small number of survey responses.
Sierra,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
Siskiyou,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
Solano,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),County prevalence not available due to small number of survey responses.
Sonoma,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),County prevalence not available due to small number of survey responses.
Stanislaus,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),County prevalence not available due to small number of survey responses.
Sutter,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),County prevalence not available due to small number of survey responses.
Tehama,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),"Colusa, Glenn, and Tehama counties combined for analysis. County prevalence not available due to small number of survey responses."
Trinity,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
Tulare,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),County prevalence not available due to small number of survey responses.
Tuolumne,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis. County prevalence not available due to small number of survey responses."
Ventura,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),County prevalence not available due to small number of survey responses.
Yolo,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),County prevalence not available due to small number of survey responses.
Yuba,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),County prevalence not available due to small number of survey responses.
Alameda,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,13.10%,(9.2 17.0),14.90%,(14.0 15.9),None
Alpine,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,14.70%,(7.6 21.7),14.90%,(14.0 15.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Amador,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,14.70%,(7.6 21.7),14.90%,(14.0 15.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Butte,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,16.60%,(8.5 24.6),14.90%,(14.0 15.9),None
Calaveras,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,14.70%,(7.6 21.7),14.90%,(14.0 15.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Colusa,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,17.00%,(8.7 25.2),14.90%,(14.0 15.9),"Colusa, Glenn, and Tehama counties combined for analysis."
Contra Costa,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,19.10%,(14.2 24.0),14.90%,(14.0 15.9),None
Del Norte,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,20.50%,(8.7 32.3),14.90%,(14.0 15.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
El Dorado,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,24.40%,(12.6 36.2),14.90%,(14.0 15.9),None
Fresno,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,15.70%,(9.2 22.2),14.90%,(14.0 15.9),None
Glenn,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,17.00%,(8.7 25.2),14.90%,(14.0 15.9),"Colusa, Glenn, and Tehama counties combined for analysis."
Humboldt,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,18.80%,(7.0 30.5),14.90%,(14.0 15.9),None
Imperial,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,11.90%,(7.2 16.6),14.90%,(14.0 15.9),None
Inyo,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,14.70%,(7.6 21.7),14.90%,(14.0 15.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Kern,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,19.90%,(14.2 25.6),14.90%,(14.0 15.9),None
Kings,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,24.40%,(14.5 34.3),14.90%,(14.0 15.9),None
Lake,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,24.00%,(14.0 34.0),14.90%,(14.0 15.9),None
Lassen,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,20.50%,(8.7 32.3),14.90%,(14.0 15.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Los Angeles,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,12.70%,(11.1 14.3),14.90%,(14.0 15.9),None
Madera,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,14.30%,(6.7 21.8),14.90%,(14.0 15.9),None
Marin,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,11.30%,(8.1 14.4),14.90%,(14.0 15.9),None
Mariposa,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,14.70%,(7.6 21.7),14.90%,(14.0 15.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Mendocino,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,18.00%,(10.4 25.6),14.90%,(14.0 15.9),None
Merced,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,17.40%,(8.3 26.5),14.90%,(14.0 15.9),None
Modoc,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,20.50%,(8.7 32.3),14.90%,(14.0 15.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Mono,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,14.70%,(7.6 21.7),14.90%,(14.0 15.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Monterey,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,12.70%,(6.4 19.0),14.90%,(14.0 15.9),None
Napa,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,18.90%,(10.5 27.3),14.90%,(14.0 15.9),None
Nevada,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,11.60%,(5.2 18.0),14.90%,(14.0 15.9),None
Orange,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,11.30%,(8.0 14.5),14.90%,(14.0 15.9),None
Placer,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,17.00%,(9.0 24.9),14.90%,(14.0 15.9),None
Plumas,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,20.50%,(8.7 32.3),14.90%,(14.0 15.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Riverside,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,15.20%,(10.2 20.1),14.90%,(14.0 15.9),None
Sacramento,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,21.60%,(16.3 26.9),14.90%,(14.0 15.9),None
San Benito,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,15.70%,(6.4 25.0),14.90%,(14.0 15.9),None
San Bernardino,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,17.10%,(13.4 20.9),14.90%,(14.0 15.9),None
San Diego,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,14.70%,(12.7 16.6),14.90%,(14.0 15.9),None
San Francisco,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,15.20%,(9.4 21.1),14.90%,(14.0 15.9),None
San Joaquin,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,17.80%,(11.9 23.8),14.90%,(14.0 15.9),None
San Luis Obispo,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,13.60%,(7.7 19.5),14.90%,(14.0 15.9),None
San Mateo,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,17.50%,(11.9 23.0),14.90%,(14.0 15.9),None
Santa Barbara,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,11.70%,(4.5 18.8),14.90%,(14.0 15.9),None
Santa Clara,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,11.70%,(8.3 15.1),14.90%,(14.0 15.9),None
Santa Cruz,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,20.10%,(13.2 27.0),14.90%,(14.0 15.9),None
Shasta,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,14.90%,(8.7 21.0),14.90%,(14.0 15.9),None
Sierra,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,20.50%,(8.7 32.3),14.90%,(14.0 15.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Siskiyou,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,20.50%,(8.7 32.3),14.90%,(14.0 15.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Solano,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,24.90%,(15.2 34.6),14.90%,(14.0 15.9),None
Sonoma,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,17.70%,(9.2 26.1),14.90%,(14.0 15.9),None
Stanislaus,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,18.60%,(11.9 25.2),14.90%,(14.0 15.9),None
Sutter,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,17.70%,(7.4 28.0),14.90%,(14.0 15.9),None
Tehama,2015 2016,Lifetime asthma prevalence,Child vs. adult,18+ years,17.00%,(8.7 25.2),14.90%,(14.0 15.9),"Colusa, Glenn, and Tehama counties combined for analysis."
